date,province,confirm,dead,heal
03.01,上海,337,3,292
03.02,上海,338,3,294
03.03,上海,338,3,298
03.04,上海,339,3,303
03.05,上海,342,3,306
03.06,上海,342,3,313
03.07,上海,342,3,314
03.08,上海,342,3,315
03.09,上海,344,3,319
03.10,上海,344,3,320
03.11,上海,344,3,321
03.12,上海,346,3,324
03.13,上海,350,3,324
03.14,上海,353,3,324
03.15,上海,355,3,325
03.16,上海,358,3,325
03.17,上海,361,3,325
03.18,上海,368,3,326
03.19,上海,371,3,326
03.20,上海,380,3,326
03.21,上海,394,3,328
03.22,上海,404,4,328
03.23,上海,414,4,329
03.24,上海,433,5,330
03.25,上海,451,5,330
03.26,上海,468,5,331
03.27,上海,485,5,334
03.28,上海,492,5,334
03.29,上海,498,5,334
03.30,上海,509,5,338
03.31,上海,516,6,341
03.01,云南,174,2,163
03.02,云南,174,2,168
03.03,云南,174,2,169
03.04,云南,174,2,169
03.05,云南,174,2,169
03.06,云南,174,2,170
03.07,云南,174,2,170
03.08,云南,174,2,170
03.09,云南,174,2,170
03.10,云南,174,2,170
03.11,云南,174,2,170
03.12,云南,174,2,170
03.13,云南,174,2,170
03.14,云南,174,2,172
03.15,云南,175,2,172
03.16,云南,176,2,172
03.17,云南,176,2,172
03.18,云南,176,2,172
03.19,云南,176,2,172
03.20,云南,176,2,172
03.21,云南,176,2,172
03.22,云南,176,2,172
03.23,云南,176,2,172
03.24,云南,176,2,172
03.25,云南,178,2,172
03.26,云南,180,2,172
03.27,云南,180,2,172
03.28,云南,180,2,172
03.29,云南,180,2,172
03.30,云南,181,2,172
03.31,云南,182,2,172
03.01,内蒙古,75,0,51
03.02,内蒙古,75,0,54
03.03,内蒙古,75,1,59
03.04,内蒙古,75,1,63
03.05,内蒙古,75,1,63
03.06,内蒙古,75,1,65
03.07,内蒙古,75,1,68
03.08,内蒙古,75,1,70
03.09,内蒙古,75,1,70
03.10,内蒙古,75,1,70
03.11,内蒙古,75,1,71
03.12,内蒙古,75,1,71
03.13,内蒙古,75,1,71
03.14,内蒙古,75,1,71
03.15,内蒙古,75,1,71
03.16,内蒙古,75,1,73
03.17,内蒙古,75,1,73
03.18,内蒙古,75,1,74
03.19,内蒙古,75,1,74
03.20,内蒙古,75,1,74
03.21,内蒙古,75,1,74
03.22,内蒙古,75,1,74
03.23,内蒙古,75,1,74
03.24,内蒙古,77,1,74
03.25,内蒙古,89,1,74
03.26,内蒙古,92,1,74
03.27,内蒙古,94,1,74
03.28,内蒙古,95,1,74
03.29,内蒙古,97,1,74
03.30,内蒙古,107,1,74
03.31,内蒙古,111,1,74
03.01,北京,414,8,282
03.02,北京,414,8,288
03.03,北京,414,8,288
03.04,北京,418,8,297
03.05,北京,422,8,298
03.06,北京,426,8,303
03.07,北京,428,8,308
03.08,北京,428,8,315
03.09,北京,429,8,320
03.10,北京,435,8,326
03.11,北京,435,8,334
03.12,北京,436,8,342
03.13,北京,437,8,349
03.14,北京,442,8,353
03.15,北京,446,8,358
03.16,北京,455,8,368
03.17,北京,469,8,378
03.18,北京,479,8,378
03.19,北京,491,8,390
03.20,北京,499,8,392
03.21,北京,514,8,398
03.22,北京,537,8,401
03.23,北京,554,8,401
03.24,北京,561,8,403
03.25,北京,566,8,406
03.26,北京,569,8,406
03.27,北京,572,8,409
03.28,北京,576,8,411
03.29,北京,577,8,412
03.30,北京,580,8,416
03.31,北京,580,8,418
03.01,台湾,41,1,12
03.02,台湾,41,1,12
03.03,台湾,42,1,12
03.04,台湾,42,1,12
03.05,台湾,44,1,12
03.06,台湾,45,1,12
03.07,台湾,45,1,13
03.08,台湾,45,1,15
03.09,台湾,45,1,15
03.10,台湾,47,1,17
03.11,台湾,48,1,17
03.12,台湾,49,1,20
03.13,台湾,50,1,20
03.14,台湾,53,1,20
03.15,台湾,59,1,20
03.16,台湾,67,1,22
03.17,台湾,77,1,22
03.18,台湾,100,1,22
03.19,台湾,108,1,26
03.20,台湾,135,2,28
03.21,台湾,153,2,28
03.22,台湾,195,2,28
03.23,台湾,195,2,29
03.24,台湾,216,2,29
03.25,台湾,235,2,29
03.26,台湾,252,2,29
03.27,台湾,267,2,30
03.28,台湾,283,2,30
03.29,台湾,298,3,39
03.30,台湾,306,5,39
03.31,台湾,322,5,39
03.01,吉林,93,1,78
03.02,吉林,93,1,83
03.03,吉林,93,1,84
03.04,吉林,93,1,86
03.05,吉林,93,1,88
03.06,吉林,93,1,90
03.07,吉林,93,1,90
03.08,吉林,93,1,90
03.09,吉林,93,1,91
